Proteome Id	Organism Id
UP000184052	1121476
UP000033608	1121477
UP000184533	1121477
UP000017415	1121864
UP000014113	1121865
UP000190162	1121868
UP000182692	1121869
UP000032336	1121877
UP000184295	1121881
UP000184207	1121883
UP000184048	1121884
UP000237056	1121886
UP000030152	1121895
UP000030111	1121898
UP000030121	1121899
UP000196365	1121911
UP000035068	1121915
UP000184536	1121919
UP000006251	1121922
UP000053586	1121923
UP000189941	1121925
UP000053405	1121927
UP000014463	1121939
UP000184346	1121942
UP000193587	1121945
UP000184301	1121950
UP000228535	1121954
UP000184418	1121955
UP000183947	1121959
UP000184485	1122133
UP000256334	1122140
UP000183918	1122142
UP000051500	1122146
UP000050949	1122147
UP000051565	1122148
UP000051908	1122151
UP000051931	1122152
UP000185655	1122154
UP000184245	1122155
UP000184327	1122156
UP000054600	1122169
UP000223913	1122177
UP000025047	1122180
UP000184442	1122184
UP000030017	1122185
UP000190061	1122188
UP000184171	1122189
UP000190637	1122192
UP000184334	1122195
UP000242469	1122198
UP000199488	1122204
UP000184517	1122206
UP000054058	1122207
UP000256779	1122208
UP000182350	1122209
UP000191135	1122214
UP000036503	1122219
UP000271783	1122229
UP000075670	1122241
UP000187495	1122245
UP000006265	1122247
UP000199058	1122252
UP000241808	1122261
UP000186106	112234
UP000184476	112248
UP000192790	1122930
UP000184342	1122934
UP000245909	1122935
UP000192408	1122938
UP000236950	1122953
UP000236604	1122954
UP000236434	1122955
UP000237502	1122956
UP000249483	1122957
UP000000438	1122961
UP000192315	1122961
UP000226420	1122977
UP000187195	1122984
UP000027442	1122985
UP000248314	1122991
UP001144471	1123000
UP000322917	1123003
UP000198862	1123010
UP000219563	1123011
UP000184185	1123012
UP000192920	1123014
UP000031271	1123016
UP000321328	1123024
UP000186406	1123029
UP000547931	1123042
UP000676194	1123043
UP000016843	1123057
UP000199473	1123062
UP000015346	1123069
UP000184510	1123071
UP000184206	1123231
UP000015347	1123237
UP000184404	1123243
UP000611629	1123245
UP000243705	1123268
UP000018851	1123269
UP000185192	1123272
UP000184389	1123281
UP000183995	1123282
UP000243333	1123285
UP000216052	1123286
UP000216752	1123289
UP000199520	1123291
UP000525923	112331
UP000198896	1123323
UP000242432	1123324
UP000242497	1123349
UP000242520	1123350
UP000198828	1123352
UP000184512	1123357
UP000015351	1123360
UP000198615	1123362
UP000252113	1123365
UP000007127	1123366
UP000013232	1123367
UP000184127	1123369
UP000242592	1123380
UP000242329	1123382
UP000077469	1123384
UP000198611	1123397
UP000242642	1123402
UP000186112	1123403
UP000184114	1123404
UP000190834	1123491
UP000184159	1123492
UP000188276	1123498
UP000051296	1123500
UP000035100	1123501
UP000198926	1123755
UP000193926	1123756
UP000183854	1123773
UP000010305	1123866
UP000010116	1123867
UP000199137	112413
UP000462940	112413
UP000184147	1124188
UP000218067	1124626
UP000292346	1124743
UP000292695	1124744
UP000583800	1124761
UP000255224	1124835
UP000273270	1124835
UP000002967	1124982
UP000013940	1124983
UP000011834	1124991
UP000031910	1124992
UP000068905	1125411
UP000007841	1125630
UP000014541	1125699
UP000014634	1125700
UP000014605	1125702
UP000016638	1125712
UP000004578	1125717
UP000002941	1125718
UP000004156	1125723
UP000004863	1125724
UP000016412	1125725
UP000014408	1125779
UP000010792	1125847
UP000198931	1125876
UP000221860	1125964
UP000677436	1125966
UP000717624	1125967
UP000215563	1125972
UP000017669	1125979
UP000252189	1126245
UP000066441	1126627
UP000032633	1126833
UP000008190	1127134
UP000005808	1127483
UP000006334	1127673
UP000010452	1127691
UP000010419	1127692
UP000010436	1127693
UP000010457	1127694
UP000010434	1127695
UP000010408	1127696
UP000010433	1127699
UP000722750	1127984
UP000244927	1128331
UP000006094	1128398
UP000320876	1128664
UP000436483	1128670
UP000321261	1128676
UP000545493	1128677
UP000481583	1128680
UP000006263	1128912
UP000199580	1128970
UP000192738	112901
UP000198847	112903
UP000192477	112904
UP000321830	112904
UP000535078	1129133
UP000033434	1129367
UP000012046	1129374
UP000006322	1129793
UP000011864	1129794
UP000005951	1129896
UP000004221	1129897
UP000419017	1130046
UP000198564	1130080
UP000003645	1130798
UP000308744	1130819
UP000734685	1131
UP000737308	1131
UP000737483	1131
UP000775291	1131
UP000289924	113107
UP000307982	113107
UP000094469	1131292
UP000006229	1131455
UP000000482	1131462
UP000185062	1131553
UP000018877	1131730
UP000006315	1131731
UP000003900	1131935
UP000294980	1132028
UP000291572	1132417
UP000011566	1132509
UP000196430	113268
UP000324973	1132694
UP000002757	1132836
UP000295765	1133106
UP000560658	1133319
UP000033390	1133329
UP000528964	1133344
UP000326702	1133546
UP000305451	1133559
UP000007346	1133568
UP000051576	1133569
UP000011174	1133592
UP000006304	1133849
UP000006167	1133852
UP000050417	1134406
UP000036902	1134435
UP000570003	1134445
UP000010932	1134457
UP000003395	1134474
UP000027015	1134510
UP000020202	1134687
UP000034363	1134687
UP000234505	1134687
UP000234661	1134687
UP000234667	1134687
UP000254863	1134687
UP000255050	1134687
UP000255325	1134687
UP000288724	1134687
UP000464389	1134687
UP001158953	1134687
UP001159937	1134687
UP000003117	1134802
UP000006403	1134806
UP000006156	1134823
UP000590749	113559
UP000680865	113560
UP000198688	113562
UP000598174	113564
UP000239415	113567
UP000590511	113568
UP000234704	113574
UP000243084	1135990
UP000295507	1136135
UP000295547	1136135
UP000005826	1136177
UP000199597	1136497
UP000034723	113653
UP000063789	1136941
UP000186363	1137095
UP000015361	1137134
UP000035057	1137280
UP000012024	1137281
UP000263268	1137281
UP000182769	1137284
UP000238882	1137780
UP000028073	1137799
UP000239210	1137988
UP000246661	1137989
UP000471126	1137989
UP000198680	1137991
UP000198921	1137993
UP000198386	1137994
UP000198723	1138170
UP000524492	1138170
UP000528824	1138194
UP000749740	1138194
UP000193540	1138383
UP000231693	1138585
UP000030361	1138822
UP000010553	1138901
UP000010504	1138917
UP000014127	1139219
UP000014136	1139996
UP000245802	114
UP000889800	1140
UP000015961	1140003
UP000051698	114090
UP000255549	1141106
UP000199242	1141221
UP000290013	1141221
UP000031364	1141657
UP000010290	1141660
UP000009336	1141662
UP000286969	1141731
UP000189666	114186
UP000230531	114186
UP000510930	114186
UP001237869	114186
UP000272474	1141874
UP000539473	1141878
UP000297535	1141884
UP000218151	1141887
UP000218366	1141889
UP000219494	1141890
UP000007881	1142394
UP000295536	114249
UP000009061	1142511
UP000019147	1143323
UP000241206	114404
UP000003746	1144253
UP000007587	1144275
UP000004567	1144300
UP000007300	1144304
UP000007515	1144305
UP000006490	1144306
UP000006480	1144307
UP000007278	1144308
UP000007505	1144310
UP000007285	1144312
UP000007287	1144313
UP000009023	1144314
UP000007277	1144315
UP000007509	1144316
UP000004811	1144317
UP000007275	1144318
UP000007296	1144319
UP000007295	1144320
UP000007514	1144321
UP000007280	1144324
UP000007292	1144325
UP000007503	1144326
UP000007510	1144327
UP000007274	1144329
UP000007293	1144330
UP000007288	1144331
UP000007513	1144332
UP000007268	1144333
UP000007281	1144335
UP000007290	1144336
UP000007302	1144337
UP000007512	1144338
UP000007301	1144339
UP000007504	1144340
UP000007506	1144341
UP000007507	1144342
UP000007283	1144343
UP000007272	1144344
UP000198707	1144548
UP000236732	1144553
UP000237846	1144618
UP000018437	1144661
UP000013059	1144662
UP000018448	1144663
UP000023777	1144664
UP000013199	1144665
UP000018424	1144666
UP000023792	1144667
UP000018446	1144668
UP000023788	1144669
UP000018455	1144671
UP000013258	1144673
UP000018457	1144674
UP000600139	1144680
UP000007282	1144708
UP000094147	1144748
UP000199559	1144750
UP000295611	1144873
UP000286246	1145106
UP000002808	1145110
UP000006761	1145111
UP000006759	1145113
UP000006760	1145114
UP000006766	1145115
UP000006763	1145116
UP000006756	1145117
UP000006748	1145118
UP000237883	114527
UP000722050	114527
UP000465667	114529
UP000619835	114529
UP000001994	114615
UP000636850	114683
UP000184286	114686
UP000007517	1146883
UP000476310	114699
UP000027989	1147
UP000190105	1147123
UP000019193	1147131
UP000026913	1147786
UP000031012	1148157
UP000198481	1148509
UP000245056	1148509
UP000282140	1148509
UP000282672	1148509
UP000290876	114880
UP000290243	114885
UP000218554	1149133
UP000241158	1149773
UP000004324	1149862
